frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,count_crypto,count_handshake_done,http3_stream_count,http3_fin_count,stream_length,stream_type_count,capture_id
21,1.3e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,1
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,1
23,0.001582,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,1
24,0.000343,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2,0.000234,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,0.000414,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
4,0.000174,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
5,0.000297,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
6,0.001363,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,10
7,5.4e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10
8,0.003622,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,10
9,0.00052,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,10
10,5.5e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10
11,2.1e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10
12,1.7e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,10
13,0.000543,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
14,0.000233,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10
15,0.000655,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
16,0.000304,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10
17,0.000152,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10
18,0.000321,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,10
19,4.7e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10
20,1.4e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,10
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,10
22,1.6e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,10
23,0.000428,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,10
24,0.000277,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,0.000211,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,0.000378,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
4,0.000111,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
5,0.000341,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
6,0.001362,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,11
7,5.5e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11
8,0.00365,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,11
9,0.00054,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,11
10,9.6e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11
11,2.2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11
12,2e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,11
13,0.000244,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
14,0.000107,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,11
15,0.000225,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
16,0.000238,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,11
17,0.000192,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11
18,0.000326,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,11
19,4.8e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11
20,1.5e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,11
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,11
22,1.8e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,11
23,0.000408,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,11
24,0.000282,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,0.000142,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,0.000447,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
4,0.000241,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5,0.000342,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
6,0.001362,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,12
7,5.5e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12
8,0.00278,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,12
9,0.00049,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,12
10,5.6e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12
11,2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12
12,1.9e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,12
13,0.000139,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
14,0.000113,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12
15,0.00021,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
16,0.000229,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12
17,0.000149,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
18,0.000323,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,12
19,4.8e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12
20,1.6e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,12
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,12
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,12
23,0.000388,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,12
24,0.000298,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2,0.000236,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,0.000405,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
4,0.000178,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
5,0.000299,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
6,0.001454,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,13
7,4.9e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13
8,0.003645,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,13
9,0.00098,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,13
10,0.000102,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,13
11,2.4e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,13
12,2.1e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,13
13,0.000438,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
14,0.000125,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13
15,0.000269,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
16,0.000231,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13
17,0.000168,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
18,0.000362,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,13
19,5.3e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,13
20,1.7e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,13
21,1.7e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,13
22,1.9e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,13
23,0.00043,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,13
24,0.000314,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,0.000232,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
3,0.000422,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
4,0.000137,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
5,0.000293,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
6,0.001423,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,14
7,4.8e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14
8,0.003105,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,14
9,0.000644,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,14
10,5.8e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14
11,1.9e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14
12,1.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,14
13,0.000215,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
14,9.6e-05,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,14
15,0.000263,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
16,0.000234,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14
17,0.000153,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
18,0.000315,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,14
19,4.7e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14
20,1.5e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,14
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,14
22,1.6e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,14
23,0.000447,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,14
24,0.000288,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2,0.000176,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,0.000327,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
4,0.000177,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5,0.000252,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
6,0.001466,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,15
7,5.5e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15
8,0.003279,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,15
9,0.000527,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,15
10,6.6e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15
11,2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15
12,1.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,15
13,0.000133,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
14,9.2e-05,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,15
15,0.000207,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
16,0.000155,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,15
17,0.000157,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15
18,0.000258,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,15
19,4.2e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15
20,1.5e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,15
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,15
22,1.8e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,15
23,0.000373,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,15
24,0.000204,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
2,0.000239,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
3,0.000376,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
4,0.000199,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
5,0.000367,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
6,0.002281,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,16
7,7.4e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16
8,0.003911,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,16
9,0.001273,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,16
10,0.000148,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,16
11,3.7e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,16
12,2.9e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,16
13,0.00063,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
14,0.000161,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16
15,0.000448,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
16,0.000405,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16
17,0.000164,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16
18,0.000351,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,16
19,5.1e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,16
20,1.6e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,16
21,1.6e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,16
22,1.8e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,16
23,0.000413,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,16
24,0.000387,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2,0.000311,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
3,0.000442,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
4,0.000176,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
5,0.000293,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
6,0.001548,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,17
7,7.4e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17
8,0.003011,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,17
9,0.000594,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,17
10,5.5e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,17
11,1.9e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,17
12,1.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,17
13,0.000241,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
14,9.8e-05,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,17
15,0.000217,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
16,0.00022,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17
17,0.000175,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17
18,0.000316,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,17
19,4.8e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,17
20,1.6e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,17
21,1.3e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,17
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,17
23,0.000492,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,17
24,0.000356,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2,0.000202,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3,0.000404,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
4,0.000236,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
5,0.000361,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
6,0.001355,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,18
7,6e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18
8,0.003591,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,18
9,0.000633,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,18
10,5.7e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,18
11,2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,18
12,1.9e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,18
13,0.000108,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
14,0.000103,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,18
15,0.000214,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
16,0.000165,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18
17,0.000188,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18
18,0.000271,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,18
19,4.4e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,18
20,1.4e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,18
21,1.4e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1,18
22,1.7e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,18
23,0.000349,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1,18
24,0.000205,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2,0.000164,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
3,0.000291,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
4,6.8e-05,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
5,0.000243,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
6,0.001444,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,19
7,5.4e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19
8,0.001667,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,19
9,0.000515,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1,19
10,6.9e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,19
11,2.2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,19
12,2e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,19
13,0.000109,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19
14,0.000102,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19
