step,mloss,gloss,loss
12300.0,0.081,0.2292,0.3102
12400.0,0.0841,0.2286,0.3127
12500.0,0.0827,0.2309,0.3136
12600.0,0.0828,0.2312,0.314
12700.0,0.0824,0.2303,0.3127
12800.0,0.0855,0.2288,0.3143
12900.0,0.0802,0.2262,0.3064
13000.0,0.0827,0.2316,0.3143
13100.0,0.0821,0.2269,0.309
13200.0,0.0857,0.2299,0.3156
13300.0,0.0849,0.2274,0.3123
13400.0,0.0845,0.2282,0.3127
13500.0,0.0831,0.2272,0.3103
13600.0,0.0842,0.2267,0.3109
13700.0,0.0822,0.2283,0.3105
13800.0,0.0826,0.2267,0.3093
13900.0,0.0824,0.2276,0.31
14000.0,0.0827,0.2279,0.3106
14100.0,0.084,0.2282,0.3122
14200.0,0.0841,0.2266,0.3107
14300.0,0.082,0.2244,0.3064
14400.0,0.0821,0.2246,0.3067
14500.0,0.0809,0.2225,0.3034
14600.0,0.0807,0.2254,0.3061
14700.0,0.0832,0.225,0.30820000000000003
14800.0,0.0826,0.2275,0.31010000000000004
14900.0,0.0823,0.2255,0.3078
15000.0,0.0831,0.2233,0.3064
15100.0,0.0826,0.2234,0.306
15200.0,0.0836,0.2239,0.3075
15300.0,0.0837,0.2221,0.30579999999999996
15400.0,0.083,0.2199,0.3029
15500.0,0.0811,0.2243,0.3054
15600.0,0.0829,0.2209,0.3038
15700.0,0.0839,0.2217,0.3056
15800.0,0.0845,0.2229,0.3074
15900.0,0.0813,0.2235,0.3048
16000.0,0.082,0.2239,0.3059
16100.0,0.0849,0.2203,0.3052
16200.0,0.0788,0.2197,0.2985
16300.0,0.0825,0.2209,0.3034
16400.0,0.0824,0.2236,0.306
16500.0,0.083,0.2201,0.3031
16600.0,0.081,0.2201,0.3011
16700.0,0.0837,0.2208,0.3045
16800.0,0.0799,0.2189,0.2988
16900.0,0.0813,0.2182,0.2995
17000.0,0.0821,0.2189,0.30100000000000005
17100.0,0.0786,0.2195,0.29810000000000003
17200.0,0.0834,0.2176,0.301
17300.0,0.0827,0.2198,0.3025
17400.0,0.0799,0.2195,0.2994
17500.0,0.0813,0.2197,0.301
17600.0,0.0786,0.2174,0.29600000000000004
17700.0,0.0829,0.2197,0.3026
17800.0,0.0818,0.2195,0.3013
17900.0,0.0839,0.2171,0.301
18000.0,0.0792,0.2176,0.2968
18100.0,0.0839,0.2172,0.30110000000000003
18200.0,0.0814,0.2161,0.2975
18300.0,0.0826,0.2175,0.30010000000000003
18400.0,0.0806,0.2158,0.2964
18500.0,0.0838,0.2157,0.2995
18600.0,0.0777,0.2154,0.2931
18700.0,0.0795,0.2147,0.2942
18800.0,0.0823,0.2198,0.3021
18900.0,0.0806,0.2144,0.29500000000000004
19000.0,0.0824,0.2153,0.29769999999999996
19100.0,0.0846,0.2178,0.3024
19200.0,0.0793,0.2159,0.2952
19300.0,0.0805,0.2141,0.29460000000000003
19400.0,0.0786,0.219,0.2976
19500.0,0.0803,0.2138,0.2941
19600.0,0.0817,0.2169,0.2986
19700.0,0.0816,0.2168,0.2984
19800.0,0.0789,0.2147,0.29359999999999997
19900.0,0.0808,0.2152,0.296
20000.0,0.0835,0.2182,0.3017
20100.0,0.0812,0.2158,0.297
20200.0,0.0786,0.2112,0.2898
20300.0,0.0763,0.2123,0.28859999999999997
20400.0,0.0787,0.2139,0.2926
20500.0,0.0808,0.2139,0.2947
20600.0,0.0803,0.2135,0.2938
20700.0,0.0809,0.2124,0.2933
20800.0,0.0811,0.2121,0.2932
20900.0,0.0802,0.2122,0.2924
21000.0,0.0816,0.2125,0.29410000000000003
21100.0,0.0793,0.2122,0.2915
21200.0,0.0799,0.2086,0.2885
21300.0,0.0816,0.2134,0.29500000000000004
21400.0,0.0795,0.2127,0.2922
21500.0,0.0815,0.2124,0.2939
21600.0,0.0816,0.2132,0.2948
21700.0,0.079,0.2109,0.2899
21800.0,0.0786,0.2129,0.2915
21900.0,0.0831,0.2128,0.2959
22000.0,0.0793,0.2151,0.2944
22100.0,0.0811,0.209,0.2901
22200.0,0.0792,0.2109,0.2901
22300.0,0.0808,0.2101,0.2909
22400.0,0.0811,0.2078,0.28890000000000005
22500.0,0.0781,0.2101,0.2882
22600.0,0.0829,0.2134,0.2963
22700.0,0.0775,0.2081,0.2856
22800.0,0.0809,0.2099,0.2908
22900.0,0.0807,0.2093,0.29000000000000004
23000.0,0.082,0.2099,0.2919
23100.0,0.0789,0.2088,0.2877
23200.0,0.0797,0.2102,0.2899
23300.0,0.0823,0.2102,0.2925
23400.0,0.0772,0.2058,0.28300000000000003
23500.0,0.0807,0.2101,0.2908
23600.0,0.0811,0.2101,0.2912
23700.0,0.0808,0.2102,0.291
23800.0,0.0784,0.207,0.2854
23900.0,0.0814,0.2084,0.2898
24000.0,0.079,0.2073,0.2863
24100.0,0.0799,0.2095,0.2894
24200.0,0.0796,0.2116,0.2912
24300.0,0.0795,0.2054,0.2849
24400.0,0.082,0.2063,0.2883
24500.0,0.0792,0.2076,0.2868
24600.0,0.0798,0.2069,0.2867
24700.0,0.0824,0.2086,0.29100000000000004
24800.0,0.078,0.2084,0.2864
24900.0,0.0782,0.2062,0.2844
25000.0,0.079,0.2051,0.2841
25100.0,0.0822,0.2058,0.28800000000000003
25200.0,0.0796,0.2061,0.2857
25300.0,0.0794,0.2055,0.2849
25400.0,0.081,0.2075,0.2885
25500.0,0.0815,0.2057,0.2872
25600.0,0.0791,0.2048,0.28390000000000004
25700.0,0.079,0.2069,0.2859
25800.0,0.079,0.2067,0.2857
25900.0,0.0795,0.2068,0.2863
26000.0,0.0784,0.2065,0.2849
26100.0,0.0809,0.2065,0.2874
26200.0,0.0799,0.2048,0.2847
26300.0,0.079,0.205,0.284
26400.0,0.0783,0.2034,0.2817
26500.0,0.0783,0.2039,0.2822
26600.0,0.0769,0.2026,0.27949999999999997
26700.0,0.0776,0.2019,0.27949999999999997
26800.0,0.0764,0.2028,0.2792
26900.0,0.0784,0.2027,0.2811
27000.0,0.0824,0.2056,0.28800000000000003
27100.0,0.0831,0.2033,0.2864
27200.0,0.0804,0.2069,0.2873
27300.0,0.0797,0.2055,0.2852
27400.0,0.0816,0.2053,0.28690000000000004
27500.0,0.0796,0.2017,0.2813
27600.0,0.0771,0.2034,0.28049999999999997
27700.0,0.0784,0.2018,0.2802
27800.0,0.0792,0.204,0.2832
27900.0,0.0797,0.2031,0.2828
28000.0,0.0748,0.2038,0.2786
28100.0,0.0806,0.2046,0.2852
28200.0,0.0771,0.2024,0.27949999999999997
28300.0,0.0815,0.2057,0.2872
28400.0,0.0811,0.2045,0.28559999999999997
28500.0,0.0779,0.2056,0.2835
28600.0,0.0772,0.2001,0.2773
28700.0,0.0785,0.1997,0.2782
28800.0,0.0769,0.2032,0.2801
28900.0,0.0772,0.201,0.2782
29000.0,0.0804,0.2035,0.2839
29100.0,0.0788,0.2022,0.28099999999999997
29200.0,0.0774,0.201,0.2784
29300.0,0.0756,0.2013,0.27690000000000003
29400.0,0.0779,0.1993,0.2772
29500.0,0.0767,0.2012,0.2779
29600.0,0.0795,0.2009,0.2804
29700.0,0.0813,0.1998,0.2811
29800.0,0.0782,0.2006,0.2788
29900.0,0.081,0.2012,0.2822
30000.0,0.0782,0.2027,0.2809
